breed_group,primary_breed,bite_code,bite_severity,gender
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,S
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA LH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA LH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA LH,1,SNGLB,S
CHIHUAHUA,CHIHUAHUA LH,1,SNGLB,S
CHIHUAHUA,CHIHUAHUA LH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA LH,1,SNGLB,F
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,F
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,F
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,F
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,M
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA SH,1,SNGLB,N
